Number,Name,Description
88,Henry M. Streeter House,"Designed and built by Henry A. Westbrook in 1888, this Victorian farmhouse was constructed for Henry M. Streeter, a prominent Riverside attorney and politician. Streeter served in both the California Assembly and Senate and authored the legislation that created Riverside County in 1893. The house is significant both for its architecture and for its association with one of the county’s principal founders."
89,James M. Wood House,"Built in 1891, this Colonial Revival residence was designed for theatrical architect James M. Wood in collaboration with Riverside architect A. C. Willard. Wood had come to Riverside to design the interior of the Loring Opera House, while Willard designed that building’s exterior. The house preserves an unusual residential connection between two architects associated with one of Riverside’s most important lost entertainment buildings."
90,Roosevelt Building,"Designed by Burnham & Bliesner and constructed by Fred Peter in 1904, the Roosevelt Building is an Italianate commercial building in downtown Riverside. It was named for President Theodore Roosevelt, whose 1903 visit to Riverside was commemorated in several places around the city. The building remains a substantial example of Riverside’s early twentieth-century commercial architecture."
91,“Ridgecourt”,"Built in 1913 for Clinton Hickok, a piano dealer from Toledo, Ohio, Ridgecourt is a Mission Revival residence with an especially whimsical feature: its patio was designed in the shape of a grand piano. The house reflects the popularity of Mission-inspired residential architecture in Riverside during the early twentieth century."
92,J. R. Willis Building,"Designed by G. Stanley Wilson in 1927 for the Bell Cleaning Company, this Spanish Colonial Revival commercial building reflects Riverside’s strong preference for Spanish and Mediterranean architectural forms during the 1920s. Originally built for a dry-cleaning business, it is one of Wilson’s surviving contributions to the city’s commercial streetscape."
93,John J. Hewitt House,"John and Martha Hewitt built this Eastlake Victorian residence in 1885 on their ten-acre orange grove. After John Hewitt’s death in 1909, Martha subdivided the property into forty-three residential lots and had the house cut into two sections, rotated ninety degrees and moved to face Orange Street. She continued to live there until 1920."
94,Dr. Edmund Jaeger House,"This property is no longer a designated City Landmark. Dr. Edmund Jaeger, a Riverside City College biology instructor and noted desert naturalist, designed its front garden as a carefully composed collection of desert plants selected for texture, form, color and succession of bloom. Because the garden was the principal basis for designation and no longer survives, the property was removed from the landmark list."
95,First United Brethren in Christ,"Built in 1887, this Gothic Revival church is identified by the City as Riverside’s second-oldest surviving church building. Its steeply pitched form and pointed-arch detailing preserve an important example of the modest ecclesiastical architecture constructed during Riverside’s early development."
96,Former Irving School (Abraham Lincoln High School),"The surviving Craftsman-style school building was constructed in 1917. A Streamline Moderne auditorium designed by G. Stanley Wilson was added in 1940. The campus once contained nine buildings, but a 1955 fire destroyed the others, leaving these structures as the principal remnants of the historic school."
97,Chudzikowski Home Site,"This property formerly contained a residence, garage and entrance monument constructed for John B. Chudzikowski. All of the designated improvements were demolished in 1999, leaving the site as a landmark associated primarily with the history of the lost property rather than surviving architecture."
98,Former Potter Hotel (White Park Building),"Built in 1924 by Walter Lewis at a reported cost of $15,000, the White Park Building is a Mediterranean-style commercial structure facing Riverside’s historic White Park. Its design reflects the Spanish and Mediterranean architectural vocabulary that became increasingly common in Riverside commercial development during the 1920s."
99,Benjamin Rockhold Family House,"Built in 1906, this distinctive residence combines Swiss Chalet and Craftsman influences. The house originally stood at 4220 Lemon Street and was moved to Indian Hill Road in 1998. Benjamin Rockhold and his brother John established the Rockhold Brothers Grocery in 1889, linking the house to one of Riverside’s early commercial families."
100,Santa Fe Depot,"Built in the 1920s for the Atchison, Topeka & Santa Fe Railway, this Pueblo Revival depot replaced an earlier Victorian station on the same site. The City’s landmark plaque credits C. S. Gilman and M. R. Mohr of Los Angeles with its design. Its massed stucco walls and Southwestern forms reflect the architectural identity adopted by the Santa Fe across the region. Scheduled passenger service ended in 1968."
101,Elmer A. Day House,"Built in 1895 for horticulturist Elmer A. Day, this Vernacular Victorian residence originally stood on Eighth Street, now University Avenue, amid citrus groves. As downtown Riverside became increasingly commercial, the house was moved to its present Fourth Street location in 1911. Its relocation reflects the transition of central Riverside from an agricultural settlement into a growing commercial city."
102,Former Food Manufacturing Corporation Building,"Constructed between 1938 and 1943, this group of industrial buildings was designed with distinctive sawtooth roofs oriented north to provide even, diffused natural light. The complex is associated with the Food Manufacturing Corporation, later part of FMC, and represents Riverside’s twentieth-century industrial development alongside the citrus packing and agricultural industries that shaped the city’s economy."
103,Jaeger Family House,"Built in 1907 by G. D. Haigh for the Jaeger family, this Craftsman residence dates from a period of rapid residential development west of Riverside’s original Mile Square. The family had moved from Des Moines, Iowa, the previous year. Their son, Dr. Edmund C. Jaeger, lived here for many years and became an internationally recognized naturalist, educator and authority on the flora and fauna of the desert Southwest."
104,Raymond Cree–Criddle House,"Built in 1913, this Craftsman bungalow is an important contributor to the Mount Rubidoux Historic District and was home to several prominent Riverside residents. Original owner Raymond Cree served as Riverside County Superintendent of Schools. Later owner Eugene B. Criddle was vice president of the Southern Sierras Power Company and served as mayor of Riverside from 1933 to 1937."
105,“St. Valentine Hall” Mary & Emerson Holt House,"Built in 1924, this Spanish Colonial Revival residence was home to Emerson and Mary Holt, both active in Riverside civic life. Emerson was a businessman, Masonic chaplain and co-founder of Riverside’s Sierra Club chapter. Mary was a writer, artist and women’s-club leader who wrote the lyrics to the Riverside County Song. The house is an important contributor to the Wood Streets Historic District."
106,Alkire House,"Built about 1899 by Adam S. Alkire, this Neoclassical residence is associated with one of Riverside’s early civic figures and with the development of the city’s original Mile Square. Alkire, a Civil War veteran, merchant, photographer and public official, served as Riverside’s City Clerk and Assessor and later developed several properties along Orange Street. The house also contributes to the Heritage Square Historic District."
107,Holden House,"In 1923, Arthur and Virginia Holden commissioned Riverside architect Robert H. Spurgeon to design this Tudor Revival residence on Magnolia Avenue. Arthur Holden had come to Riverside in 1907 to manage the British-owned San Jacinto Land Company, which controlled extensive acreage in the region. The house is a substantial example of the picturesque revival-style residences built along Magnolia Avenue during the early twentieth century."
108,Ames–Westbrook House,"Built in 1888 for citrus grower Samuel A. Ames, this Queen Anne residence is one of Riverside’s notable surviving Victorian houses. It is most closely associated with longtime owners John R. and Lucie Westbrook. John Westbrook helped establish Franzen Brothers Hardware, which later became the J. R. Westbrook Company. The house retains much of the elaborate form and decorative character typical of late nineteenth-century Queen Anne architecture."
109,Highgrove Drop & Upper Riverside Canal,"The Upper Riverside Canal is closely associated with the development of Riverside’s irrigation system and citrus industry. At the Highgrove Drop, where the canal descended approximately forty feet near Iowa Avenue, engineers harnessed the falling water to create one of California’s earliest commercially significant hydroelectric plants. Beginning in 1888, its generators supplied electricity for street lighting in Riverside and Colton, linking this site to both the city’s agricultural and electrical history."
110,Piddington House,"Designed by architect Henry L. A. Jekel and built in 1927 by John V. Philbrick for Alfred A. and Erminie Piddington, this Spanish Colonial Revival residence stands in the Fairmount Heights subdivision overlooking Riverside’s historic North Hill quarry. Alfred Piddington worked for the Riverside Press and Enterprise for forty-six years and became the newspaper’s editor in 1933. The house is an important example of Jekel’s residential work in Riverside."
111,Lillian M. Spurgeon Residence,"Designed in 1927 by architect Robert H. Spurgeon for his mother, Lillian M. Spurgeon, this Spanish Colonial Revival residence is an excellent example of the style’s adaptation to domestic architecture in Riverside. Spurgeon practiced in New York, Los Angeles, Riverside and Santa Barbara, with much of his career centered in Riverside. The house is notable both for its architectural quality and for its association with one of the city’s important twentieth-century architects."
112,R. D. Brough–Harry W. Hammond Residence,"Constructed in 1908, this Craftsman residence is significant both for its architecture and for its association with Harry W. Hammond, a longtime principal of the Riverside Press. Hammond lived here for seventeen years during a forty-nine-year career with the newspaper. The house is a strong example of the Craftsman style that became popular in Riverside during the early twentieth century."
113,John Swanson Residence,"Built by John Swanson about 1906, this residence is an unusual example of transitional architecture in Riverside. Its design combines Victorian, Classical Revival and Arts and Crafts influences, illustrating the changing architectural tastes of the early twentieth century. The Cultural Heritage Board identified it as one of the city’s most distinctive surviving examples of this stylistic transition."
114,Jackson Building,"Constructed about 1886, the Jackson Building became an important center of Riverside’s Japanese immigrant community. Its upper floor contained largely Japanese lodgings, while shops and businesses operated below, including the Japanese-owned Washington Restaurant. Jukichi Harada became proprietor of the restaurant in 1911, several years before his family’s landmark challenge to California’s Alien Land Law. The building preserves an important association with Riverside’s Japanese American history."
115,Arthur N. Sweet Residence,(description tk)
116,Ernest & Louise Clarke House,Henry L. A. Jekel designed this Spanish Colonial Revival residence for Ernest and Louise Clarke in 1928. Ernest Clarke served for decades as editor of the Riverside Daily Press and later headed the combined Press-Enterprise. Dr. Louise Harvey Clarke was the first woman president of the Riverside County Medical Association and the only woman physician among the sixteen founders of Riverside Community Hospital. The house is significant for both its Jekel design and its association with two prominent Riverside residents.
117,C. O. Evans House,"Designed and built in 1908 by Riverside architect G. Stanley Wilson for Charles Orrick Evans and his family, this residence combines California bungalow forms with Tudor influences. Constructed of redwood, brick and concrete, it is an important example of Wilson’s early residential work. Evans was a prominent Riverside businessman and civic figure, adding an important historical association to the house’s architectural significance."
118,Five Points Intersection,"The Five Points intersection became the commercial center of La Sierra during and after World War II, when rapid residential and business development transformed the area. Stores, offices and other services clustered around the meeting of La Sierra Avenue, Pierce Street, Hole Avenue and Bushnell Avenue. Five Points functioned as La Sierra’s historic downtown and as the western gateway to Riverside, La Sierra University and nearby Camp Anza. City planning documents continue to recognize the intersection as City Landmark No. 118."
119,Walter C. Banks Residence,"The Walter C. Banks Residence is a historic dwelling within Riverside’s North Hill area, a neighborhood characterized by early twentieth-century residential development overlooking the city. The house is associated with Walter C. Banks and contributes to the architectural and historical character of this distinctive residential enclave."
120,All Saints Episcopal Church,"Built in 1948, All Saints Episcopal Church is an important example of Mediterranean Revival ecclesiastical architecture and of Riverside’s postwar suburban growth. Its sanctuary is distinguished by extensive board-formed reinforced concrete construction, including carefully formed columns, arches and other architectural details. The City found the church significant for its architecture, craftsmanship, association with a notable designer and its representation of the postwar movement of established downtown congregations into suburban Riverside."
121,Bobby Bonds Residence,"Robert and Elizabeth Bonds moved to this modest Eastside residence in 1957 with their four children. Their son Bobby Bonds became one of Riverside’s most accomplished professional athletes, combining exceptional power and speed during a seventeen-year Major League Baseball career. His sister Rosie competed in the 1964 Olympics, and his son Barry Bonds, born in Riverside while the family lived here, later became one of baseball’s most prominent players. The City designated the property for its association with Riverside-born athletes of national significance."
122,Jasper Austin Payton Residence,(description tk)
123,Archibald C. E. Hawthorne House,"Built in 1889–90 for Archibald C. E. Hawthorne and designed by architect A. C. Willard, this Swiss Chalet–influenced residence is a rare survivor of the grove houses that once lined Magnolia Avenue. Its broad eaves, decorative braces and unusual cross-shaped plan distinguish the house from Riverside’s more elaborate Victorian residences. The City recognized it as an important remnant of the agricultural residential landscape that characterized areas beyond Riverside’s early town center."
124,Former Marcy Branch Library,"Designed by Riverside architect Herman Ruhnau and completed in 1957, the former Marcy Branch Library reflects Riverside’s rapid postwar growth and the expansion of municipal services into developing neighborhoods. Construction was funded in part by a bequest from Riverside resident Charles F. Marcy. The building is an important local example of Mid-Century Modern civic architecture and was identified by the City as significant for its design, craftsmanship and association with Ruhnau."
125,Clinton and Geraldine Marr House #2,"Architect Clinton Marr designed this Mid-Century Modern residence for his own family in 1960. The post-and-beam house exemplifies the modern residential architecture that developed in Riverside’s Hawarden Hills during the postwar period, emphasizing exposed structural systems and a close relationship between interior spaces and the surrounding landscape. The City designated the property both as an important example of Mid-Century Modern design and for its association with Marr, one of Riverside’s leading twentieth-century architects."
126,Philip Esbensen House,"Architect Philip Esbensen designed this Mid-Century Modern post-and-beam residence for his own family in 1965. Built on a steep hillside, the house uses simple geometric forms, strong horizontal massing, exposed structural elements and expansive floor-to-ceiling glazing to connect its interior with the surrounding landscape. The City identified it as an exceptionally intact example of Riverside’s postwar Modernist residential architecture and one of the city’s last significant examples of the post-and-beam type."
127,Mackey House,"Architect Lois Davidson Gottlieb, a former apprentice of Frank Lloyd Wright, designed the Mackey House in 1967 in collaboration with owners Edward and Barbara Mackey; construction was completed in 1971. The Mid-Century Modern residence is carefully integrated into its rocky hillside site and oriented to views and the movement of the sun. Poured-in-place concrete, clerestory and geometric windows, custom built-in furnishings and repeated chevron motifs give the house a distinctive architectural character."
128,Wells–O’Toole House,(description tk)
129,“Arcadia Grove” James E. & Jessie C. Shaw House,(description tk)
130,Trujillo Adobe,"Constructed about 1862 by members of the Trujillo family, the Trujillo Adobe predates the founding of Riverside and is considered the city’s oldest surviving structure. The adobe is associated with La Placita de los Trujillos, a settlement established by Spanish-speaking families who migrated from New Mexico to the Santa Ana River valley beginning in the 1840s. Located near the historic Old Spanish Trail, the surviving structure preserves an exceptionally important link to the multicultural settlement of Inland Southern California before Riverside’s establishment in 1870."
131,Willard and Elizabeth Winder House,(description tk)
132,Eugene Best House,(description tk)
133,Former Camp Anza Officer’s Club (Home Front at Camp Anza Community Center),(description tk)
134,Nielsen Pool House,"Designed in 1964 by civil and structural engineer Svend Nielsen as his family home and completed in 1966, the Nielsen Pool House is a distinctive example of Mid-Century Modern residential architecture. The semi-subterranean house incorporates strong horizontal lines, ribbon windows, a flat roof and an unusual indoor swimming pool at the center of the design. The City designated the residence for both its architectural character and its association with Nielsen, a prominent structural engineer."
135,Former Main Library (The Cheech),"Completed during Riverside’s postwar expansion, the former Main Library is an important local example of New Formalism. Its symmetrical composition, broad projecting roofline, brick walls and distinctive patterned concrete screens give the building a monumental but restrained civic character. City historic-resource studies identified the library as eligible for landmark designation for its architecture and its role in Riverside’s twentieth-century civic development."
136,Gore Manor,"Designed by architect Garrett Beekman Van Pelt Jr. and built in 1932 for Thomas E. Gore, Gore Manor is a distinguished Colonial Revival residence. Gore was a prominent Riverside citrus grower, banker and civic leader who promoted the city’s citrus industry and played an important role in developing Riverside’s international relationships, including its sister-city connection with Sendai, Japan. The landmark is significant for both its architecture and its association with Gore."
137,“Bigelow’s Bungalow”,(description tk)
138,E. T. Wall Packing House #1,(description tk)
139,“The Harbor”,(description tk)
140,Farm House Motel,"Constructed in 1953, the Farm House Motel is a surviving example of the postwar motor-court motel and California Ranch architecture. Its farmhouse theme is expressed through gambrel roofs, board-and-batten siding, multi-light windows and doors, and a distinctive gambrel-roof-shaped neon pole sign added in 1958. Located along what was then a major highway route, the motel reflects the automobile tourism that once shaped development along University Avenue."
141,Former Freelander Tractor Company,(description tk)
142,E. T. Wall Packing House #2,"Built as part of the E. T. Wall citrus-packing operation, this industrial building represents the large-scale processing and shipping infrastructure that supported Riverside’s citrus economy. Its designation recognizes both the importance of packing houses to the city’s agricultural history and the increasingly rare survival of buildings associated with that once-dominant industry. The City designated the property as Landmark No. 142 in 2020."
143,David S. Bell House,(description tk)
144,Neblett Residence,"Designed by Riverside architect Clinton Marr in the mid-1960s for Dr. and Mrs. Edward Neblett, this Mid-Century Modern residence is a notable example of post-and-beam residential architecture in Hawarden Hills. Its low profile, exposed structural expression and close relationship to its landscaped setting reflect the modern residential design that characterized some of Riverside’s most architecturally ambitious postwar neighborhoods."
145,Woolley Residence,(description tk)
146,Powell–Wheeler Residence,"Designed by Henry L. A. Jekel and constructed in 1930 for Percy and Margaret Powell, this Monterey Revival residence combines Spanish Colonial influences with the broad balconies and restrained forms associated with the style. Powell was active in Riverside beautification efforts, including projects along Magnolia Avenue. The house was later owned by physician Dr. Omer Wheeler, who served as president of the California Medical Board in the 1950s."
147,Walter Verly House,(description tk)
148,Lewis Residence,(description tk)
149,Miné Okubo Residence,"Built about 1900, this residence was home to Japanese American artist and author Miné Okubo and her family beginning in 1925. The family purchased the property in 1930 in the name of Okubo’s American-born sibling, an ownership arrangement made legally possible by the 1918 People v. Harada decision. In 1942, Executive Order 9066 forced the Okubo family from Riverside. Miné Okubo later documented her wartime incarceration in the influential 1946 book Citizen 13660."
150,Mercantile Hall & Orange Valley Masonic Lodge #13,"Built and opened in 1905 by David Stokes and other Black investors, Mercantile Hall became an important commercial and social center for Riverside’s African American community. Stokes and Aaron Wiley operated a grocery on the first floor, alongside other businesses, while the upper floor provided meeting space for community organizations and Black fraternal orders, including Orange Valley Masonic Lodge No. 13. Contemporary accounts described the hall as one of Riverside’s most ambitious Black-owned enterprises."
151,Boyd Residence,"Designed in 1957 by architect Charles O. Matcham and completed in 1959 by builder Harry Marsh for Philip and Dorothy Boyd, this Hollywood Regency residence remains remarkably intact. Philip Boyd was a businessman, former mayor of Palm Springs, state legislator and a leading advocate for the establishment of the University of California, Riverside, later serving as a UC Regent. Dorothy Boyd was also active in Riverside civic and charitable organizations. The house is significant for both its architectural character and its association with a couple who played an important role in UCR’s development."
152,Riverside City Hall,"Designed by the Riverside architectural firm Ruhnau, Evans and Steinmann, City Hall represents an unusual blend of Brutalism and New Formalism. Its flat roofs, raised plaza, repetitive geometric forms and curtain wall of arches temper the monumentality of Brutalist design with a more formal civic composition intended to complement nearby landmarks such as the Mission Inn and County Courthouse. The City designated the building for both its architecture and its association with one of Riverside’s most prominent mid-century architectural firms."
153,Hays-Pattee Residence,"Originally designed in 1903 by architect Franklin P. Burnham, the Hays-Pattee Residence began as an Arts and Crafts house with handcrafted detailing and a broad porch supported by substantial stone columns. In 1912, architect Garrett Van Pelt Jr. designed a second-story addition that introduced Mission Revival features including stucco walls, red clay tile roofing and arched windows. The resulting house is a distinctive blend of two important early twentieth-century architectural movements and represents the work of two notable Southern California architects."
154,“Lionhead”,"Designed by Riverside architect Henry L. A. Jekel and built in 1926, Lionhead is a substantial Spanish Eclectic residence set within the historic residential landscape near Victoria Avenue. Its design reflects Jekel’s highly individual interpretation of Spanish and Mediterranean revival architecture during one of the most productive periods of his Riverside career. The property was historically given the name “Lionhead,” which the City retained as part of its landmark designation. City records identify the house as a significant example of Jekel’s residential work and Riverside’s 1920s architectural development."
155,“Edie”,"Designed by Swiss-born architect E. Kurt Steinmann for Dr. Robert R. and Margaret R. Robinson and constructed in 1966–67, Edie is a well-preserved example of Mid-Century Modern residential design. The post-and-beam house features a flat roof, expansive glazing and a strong relationship between its interior spaces and surrounding landscape. The City found the residence significant both as an intact expression of Mid-Century Modern architecture and as a rare surviving Riverside residence by Steinmann, who later contributed to the design of Riverside City Hall and the Main Street pedestrian mall."
